CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U82200HP2024OPC010778,KINECTUAL ASSISTANT (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,100000.00,10000.00,2024-03-30,"C/O KANISHIKA SHARMA,SHARMA NIWAS VIJAY NAGAR,Shimla Urban(T),Shimla,Himachal Pradesh,171009-India",Unlisted,Active,himachal pradesh,Indian,82200,"Community, personal and Social Services"
U82920HP2023PTC010111,RAM KRIPA PRINT AND PACK PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-05-19,"C/o Maghar SIngh, 344-345,Vil Dadi BHola, Nalagarh,Solan,Solan,Himachal Pradesh,174101-India",Unlisted,Active,himachal pradesh,Indian,82920,"Community, personal and Social Services"
U85110HP2012PTC000222,MANU DIAGNOSTIC CENTRE & HOSPITAL PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,500000.00,500000.00,2012-08-30,"SNOW DROP BUILDING, GROUND FLOOR, SHOPPING CENTRE   OPP. TIBETAN MONESTARY, GOMPA ROAD,MANALI,Himachal Pradesh,175131-India",Unlisted,Active,himachal pradesh,Indian,85110,"Community, personal and Social Services"
U51397HP1986PTC007040,ADVID DRUGS PVT LTD,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,2000000.00,1878000.00,1986-10-03,"ANAND BHAWANKAITHU   SIMLA,H P,Himachal Pradesh,000000-India",Unlisted,Strike Off,himachal pradesh,Indian,51397,Trading
U51397HP2022PTC009592,VEDICOS PLUS HEALTHCARE PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-09-28,"NEAR GOVT. HOSPITAL, HAMIRPUR ROAD   TEH. AND DISTT. UNA,UNA,Una,Himachal Pradesh,174303-India",Unlisted,Active,himachal pradesh,Indian,51397,Trading
U51490HP2012PTC000105,MANIMAHESH TRADE INDIA PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,500000.00,120000.00,2012-04-03,"H.NO. 123/6   SAMKHETAR MUHALLA MANDI,MANDI,Himachal Pradesh,175001-India",Unlisted,Strike Off,himachal pradesh,Indian,51490,Trading
U72900HP2010PTC031325,GREEN LEAP IT SOLUTIONS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,5000000.00,5000000.00,2010-03-11,"H. No. 50, RAURA  SECTOR - 3   BILASPUR,BILASPUR,Himachal Pradesh,174001-India",Unlisted,Strike Off,himachal pradesh,Indian,72900,Business Services
U72900HP2015OPC000991,HEIGHT INFORMATION TECHNOLOGY (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2015-07-03,"NEAR BOYS SCHOOL   BARI ROAD,KANGRA,Himachal Pradesh,177101-India",Unlisted,Strike Off,himachal pradesh,Indian,72900,Business Services
U72900HP2018PTC007234,JYOTI CONECT AND SERVICES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-11-16,"C/o Chattar Singh Patial, Khasra No.236   Village Dalchera, P.O. Nain, Bijhari,,HAMIRPUR,Hamirpur,Himachal Pradesh,176039-India",Unlisted,Strike Off,himachal pradesh,Indian,72900,Business Services
U72900HP2021OPC008948,SIDHIVINAYAK SWAYAMBHU ENTERPRISES (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2021-11-10,"C/O TRILOK CHAND S/O SH. DUNI CHAND   R/O HOUSE NO 153 DEPOT BAZAR,DHARAMSHALA,Kangra,Himachal Pradesh,176215-India",Unlisted,Active,himachal pradesh,Indian,72900,Business Services
U72900HP2021PTC008564,DIGIFEX SOFTWARE PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,5000.00,5000.00,2021-05-17,"C/O Manejor Singh,VPO Ustehar   Tehsil Baijnath, Ustehar,Kangra,Kangra,Himachal Pradesh,176125-India",Unlisted,Active,himachal pradesh,Indian,72900,Business Services
U72900HP2022PTC009604,UPSTACK MEDIA PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1500000.00,20000.00,2022-10-06,"C/O TEK CHAND, VILL MALORI, P.O. BEHNA,   TEHSIL BALH,MANDI,Mandi,Himachal Pradesh,175006-India",Unlisted,Active,himachal pradesh,Indian,72900,Business Services
U72900HP2022PTC009735,KEARYA IT SOLUTIONS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-12-21,"Flat No 2   Sharma's Destination,Mashobra,Shimla,Shimla,Himachal Pradesh,171007-India",Unlisted,Active,himachal pradesh,Indian,72900,Business Services
U23203HP1998PTC025130,HIM COLONIZERS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,10000000.00,8054600.00,1998-09-11,"PLOT 1-4,INDUSTRIAL AREA AMBDISTT.UNA,NA,Himachal Pradesh,000000-India",Unlisted,Active,himachal pradesh,Indian,23203,"Manufacturing (Metals and Chemicals, and products thereof)"
U24117HP1988PTC008017,MOUNT PETRO PRODUCTS PVT LTD,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,2000.00,1988-02-19,"79 INDUSTRIAL AREABADDI   DISTT SOLAN,HIMACHAL PRADESH,Himachal Pradesh,000000-India",Unlisted,Strike Off,himachal pradesh,Indian,24117,"Manufacturing (Metals and Chemicals, and products thereof)"
U24219HP1989PTC009329,UNIVERSAL AGRO CHEMICAL INDUSTRIES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,10000000.00,3000.00,1989-05-15,"80INDUSTRIAL AREA   BADDI,BADDI,Himachal Pradesh,000000-India",Unlisted,Strike Off,himachal pradesh,Indian,24219,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909HP2017PTC006643,LAHUL MARKETING PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-06-20,"JAHALMAN   SUB TEHSIL UDAIPUR,LAHUL AND SPITI,Lahaul And Spiti,Himachal Pradesh,175139-India",Unlisted,Strike Off,himachal pradesh,Indian,51909,Trading
U51909HP2020PTC007778,ALDOZ PHARMA PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-01-10,"Khasra No. 166, Village Kotla   P.O. Barotiwala, Teh. Baddi, Distt. Sola,n,Barotiwala,Solan,Himachal Pradesh,174103-India",Unlisted,Active,himachal pradesh,Indian,51909,Trading
U51909HP2020PTC007847,NW MULTI TRADE PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2020-03-16,"C/O RAJ KUMAR VERMA   1, GROUND FLOOR, DULHERA, (HMR),HAMIRPUR,Hamirpur,Himachal Pradesh,177001-India",Unlisted,Active,himachal pradesh,Indian,51909,Trading
