CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U40109DD2013PTC004724,WIND WORLD WIND FARMS (JEUR) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-07-30,"Plot No. 33, Unit - II   Silver Industrial Estate, Bhimpore, Nani, Daman,,Daman,Daman,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,40109,"Electricity, Gas and Water companies"
U24232DD1993PLC001459,GARRISON PHARMA (INDIA) LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,20000000.00,19997210.00,1993-10-22,"2/182, VANIAWAD,   NANI DAMAN,DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,24232,"Manufacturing (Metals and Chemicals, and products thereof)"
U00221DD1992PTC001263,KRIMPI DISTILLERY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2500000.00,0.00,1992-08-06,"KRIMPI DISTILLERY,PLOT NO. 34,36   SUPREME INDUSTRIAL ESTATE, BHIMPORE,  NANI DAMAN.,NA,Daman and Diu,000000-India",Unlisted,Strike Off,daman and diu,Indian,00221,Others
U31200DD1989PLC003122,BLOSSOM INDUSTRIES LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,150000000.00,110675100.00,1989-08-10,"VILLAGE JANI VANKAD,NANI DAMAN 396 210 (U.T.),NANI DAMAN 396 210 (U.T.),Daman and Diu,000000-India",Unlisted,Active,daman and diu,Indian,31200,Manufacturing (Machinery and Equipments)
U31400DD2007PTC004776,SAKAR ELECTRICALS & ELECTRONICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2007-05-07,"Plot no.352/1, Vapi Kachigam Road   Kachigam,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,31400,Manufacturing (Machinery and Equipments)
U55101DD2024PTC010048,MILISTTA HOSPITALITY AND FARMS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-10-01,"DR. KALKER ROAD,Diu,Diu,Daman and Diu,362520-India",Unlisted,Active,daman and diu,Indian,55101,"Transport, storage and Communications"
U21000DD2025PTC010065,DR. ULTIMATE PHARMACEUTICS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-02-22,"H. N. 17/C-2,,F.F.107, RINGANWADA,,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,21000,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909DD2021PLC009889,SHEETAL ELECTROTECH LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,10000000.00,10000000.00,2021-03-26,"Survey No. 168/28 & 29,Village-Dabhel, Nani Daman,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,51909,Trading
U24232DD1995PTC001997,AGAM AND GEM LABORATORIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000000.00,10000000.00,1995-12-26,"PLOT NO 5DAMAN INDUSTRIAL ESTATE   SOMNATH ROAD,DAMAN,Daman and Diu,369210-India",Unlisted,Active,daman and diu,Indian,24232,"Manufacturing (Metals and Chemicals, and products thereof)"
U74999DD2020PTC009880,NURIPURE FEEDS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-12-15,"H.No.14-149/TF-6,  Dama   Mashalchowk, Nani,Daman,Daman,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,74999,Business Services
